fecha,oc,centro_costo,proveedor,item,cantidad,valor_unitario,con_iva,total,solicitado_por
2026-01-19,OC-20260119-145826,lalla,PABLO BASTA,lalla,20.0,1000.0,SI,23800.0,bbaba
2026-01-19,OC-20260119-151302,AAAA,KAKAKA,BBBBB,5000.0,200.0,SI,1190000.0,BBBB
2026-01-19,OC-20260119-152239,hchch59,PABLO BASTA,aaaa,400.0,30.0,SI,14280.0,pablo
2026-01-19,OC-20260119-153810,HCHJ59,PABLO BASTA,MANTENCION,500.0,3000.0,SI,1785000.0,PABLO
2026-01-19,OC-20260119-154553,HCHJ50,PABLO BASTA,PABLO,400.0,30000.0,NO,12000000.0,PABLO
2026-01-19,OC-20260119-154806,hchchc,BANCO,aaa,50.0,4000.0,SI,238000.0,pablo
2026-01-19,OC-20260119-160102,HCHJ50,PABLO BASTA,BANCO,400.0,500.0,SI,238000.0,PABLO
2026-01-19,OC-20260119-161126,aaaa,a,aaaaa,50.0,1000.0,SI,59500.0,bbbb
2026-01-19,OC-20260119-165247,hchj59,PABLO BASTA,aaaaa,50.0,3000.0,SI,178500.0,pablo
2026-01-19,OC-20260119-170049,hchj69,comercial,aaaa,50.0,5000.0,SI,297500.0,pablo
